from,to,text,time_start,time_end,comment
GCW-1,AAL215,american two fifteen heavy you on,3407.96,3409.31,
AAL215,GCW-1,yes sir on the ah nineteen bridge,3410.03,3411.87,
GCW-1,AAL215,american two fifteen heavy hold short of hotel you give way to one jetstream who's going to be opposite direction to you when he passes and at hotel you transition to eighteen for one eight left,3411.87,3420.66,
AAL215,GCW-1,hold short of hotel then we'll transition ah for one eight left american two fifteen heavy,3420.94,3425.09,
GCW-1,AAL215,that's correct information x-ray is current and the altimeter two niner eight four,3425.66,3429.53,
AAL215,GCW-1,copy that,3430.00,3430.77,
ASA907,GCW-1,ground asea nine oh seven is on the nineteen bridge,3431.04,3433.49,
GCW-1,ASA907,asea nine zero seven regional ground roger straight ahead on nineteen transition to the center of the pad,3435.68,3443.02,
ASA907,GCW-1,straight ahead to the center asea nine oh seven,3443.38,3445.58,
AAL404,GCW-1,ground american four oh four's got an open gate,3445.95,3448.23,
GCW-1,AAL404,american four oh four heavy roger right turn on thirty two cross thirty two bridge ground is one three four point zero five on top so long,3448.55,3454.63,
AAL404,GCW-1,american four oh four heavy,3455.03,3455.94,
GCW-1,AAL215,american two fifteen heavy you can go ahead and continue taxi appreciate it,3489.30,3491.81,
AAL215,GCW-1,roger,3492.94,3493.51,
AAL834,GCW-1,ah ground american eight thirty four is clear of one eight left,3508.55,3513.29,
GCW-1,AAL834,american eight thirty four you on thirty two,3513.86,3516.38,
AAL834,GCW-1,we're on twenty nine,3517.04,3518.00,
GCW-1,AAL834,american eight thirty four right on the outer taxiway left at thirty two cross thirty two bridge and arrival ground one three four point zero five you do have an open gate correct,3518.21,3525.73,
AAL834,GCW-1,i'm checking,3526.30,3527.06,
GCW-1,AAL544,m d eighty on thirty two is who,3528.60,3530.06,
AAL544,GCW-1,american five forty four,3530.43,3531.60,
GCW-1,AAL544,you got an open gate,3531.89,3532.81,
AAL544,GCW-1,negative,3533.02,3533.58,
GCW-1,AAL544,american five forty four all right ah turn right on the inner taxiway south bound on the inner at twenty five and the outer and then back ah to the inner thirty three hold short of thirty two,3534.02,3546.68,
AAL1405,GCW-1,and american ah fourteen five on the nineteen bridge,3549.86,3552.88,
N0KC,GCW-1,eight hundred kilo charlie is ah ready for taxi,3555.87,3558.62,
GCW-1,N0KC,king air eight hundred kilo charlie roger exit the g a ramp and hold short at the inner taxiway for me,3560.64,3565.02,
N0KC,GCW-1,okay g a and hold short at the inner,3565.57,3567.50,
UAL478,GCW-1,ground united four seventy eight push gate three with x-ray,3569.04,3571.99,
GCW-1,UAL478,united five seventy eight advise ready to taxi correction four seventy eight advise ready to taxi,3573.50,3576.96,
UAL478,GCW-1,four seventy eight wilco,3577.35,3578.13,
GCW-1,AAL834,the seven five outbound on the outer i didn't write your number down verify you do have an open gate,3578.40,3582.93,
AAL1405,GCW-1,american fourteen five coming off the nineteen bridge,3587.74,3589.84,
DAL1721,GCW-1,delta seventeen twenty one nineteen bridge,3594.18,3596.44,
GCW-1,AAL834,the seven five turning on thirty two i didn't catch your number verify you do have an open gate that's ah american eight thirty four,3600.15,3605.50,
AAL834,GCW-1,eight thirty four is on thirty two and we have an open gate,3606.45,3608.93,
GCW-1,AAL834,thank you kindly american eight thirty four contact arrival ground one three four point zero five on top,3608.93,3613.04,
AAL834,GCW-1,eight thirty four,3613.54,3614.38,
DAL539,GCW-1,delta five thirty nine on the thirty one bridge,3615.19,3617.25,
GCW-1,DAL539,delta five thirty nine ah roger,3617.57,3621.20,
AAL1721,GCW-1,american seventeen twenty one on the nineteen bridge,3621.86,3623.95,
GCW-1,AAL1405,american fourteen oh five hotel you can transition to eighteen for one eight left,3624.42,3627.59,
AAL1405,GCW-1,roger we need to find a spot to park to sort out a problem here,3627.89,3630.86,
AAL1405,GCW-1,okay left on the inner and then at twenty we'll go over to the outer for american fourteen oh five,3647.63,3651.35,
GCW-1,DAL1405,delta fourteen oh five delta fourteen oh five hotel transition to eighteen for runway one eight left,3651.68,3658.35,
DAL1405,GCW-1,delta fourteen oh five hotel transition,3658.94,3660.88,
GCW-1,DAL539,and delta five thirty nine straight ahead ah correction you're on the south bridge,3662.34,3666.91,
DAL539,GCW-1,thirty one bridge for delta five thirty nine,3667.57,3669.12,
GCW-1,DAL539,okay delta five thirty nine turn right on the inner taxiway i have further for you in just a moment,3669.22,3673.55,
DAL539,GCW-1,delta five thirty nine right on the inner,3674.28,3675.58,
DAL1721,GCW-1,and delta seventeen twenty one is next,3678.04,3680.19,
GCW-1,DAL1721,delta seventeen twenty one ah roger hotel transition to eighteen for runway one eight left,3682.24,3687.42,
DAL1721,GCW-1,okay,3688.27,3688.79,
AAL79,GCW-1,american seventy nine heavy on the nineteen bridge,3690.81,3692.77,
GCW-1,N0KC,okay eight hundred kilo charlie turn right on the inner taxiway and hold short of twenty for opposite direction traffic hold short of nineteen after that,3693.04,3699.37,
N0KC,GCW-1,okay we'll hold short of twenty and hold short nineteen after that,3699.68,3702.40,
AAL79,GCW-1,american seventy nine heavy is on the nineteen bridge,3706.80,3708.77,
GCW-1,AAL79,american's seventy nine heavy roger hold short of hotel,3710.41,3714.39,
AAL79,GCW-1,hold short of hotel american seventy nine heavy,3714.99,3716.89,
AAL67,GCW-1,american six seven heavy ah bridge,3725.64,3727.95,
GCW-1,AAL67,american sixty seven heavy ah roger,3728.87,3730.89,
GCW-1,N0KC,okay november kilo charlie good time up to nineteen make your left turn at nineteen transition center the pad for one eight left,3759.46,3764.79,
N0KC,GCW-1,okay eighteen,3765.19,3767.02,
AAL693,GCW-1,american thirteen ninety three clear at one eight left twenty nine gate's open,3768.10,3771.49,
GCW-1,AAL693,american thirteen ninety three right on the outer taxiway left at thirty two cross thirty two bridge ground's on one three point four zero five on top,3771.70,3777.74,
AAL693,GCW-1,american six ninety three,3778.17,3779.09,
AAL672,GCW-1,the m d eighty on thirty two,3779.33,3780.99,
AAL672,GCW-1,six ah seventy two,3781.31,3782.61,
GCW-1,AAL672,got an open gate,3782.75,3784.01,
GCW-1,AAL672,american six seventy two straight ahead on thirty two contact arrival one three four point zero five on top,3788.14,3792.43,
GCW-1,N764,jetstream off at thirty one transition to thirty two you cross the thirty two bridge ground's one three four point zero five on top,3792.43,3797.80,
N764,GCW-1,seven sixty four roger,3797.99,3799.32,
GCW-1,UAL478,all right four seventy eight taxi gate three,3799.60,3801.44,
UAL478,GCW-1,united four seventy eight to taxi,3803.16,3804.45,
UAL478,GCW-1,okay india short of nineteen four seventy eight,3817.15,3819.29,
DAL697,GCW-1,six ninety seven nineteen bridge,3825.70,3827.37,
GCW-1,DAL1098,the delta off at thirty two straight ahead you contact arrival at one three four point zero five on top,3827.53,3831.48,
DAL1098,GCW-1,delta ten ninety eight,3832.55,3833.24,
GCW-1,AAL544,ground american five forty four we're going to start over to twenty six south,3834.73,3837.99,
GCW-1,AAL1405,american fourteen oh five how much longer you reckon its going to be,3841.30,3844.17,
AAL1405,GCW-1,about five minutes,3844.77,3845.61,
DAL987,GCW-1,this is nine eighty seven nineteen bridge,3848.17,3850.33,
GCW-1,DAL539,delta five thirty nine continue on up the inner taxiway make your left turn at ah nineteen and contact ah the tower when you get up there,3859.36,3867.89,
DAL539,GCW-1,delta five thirty nine we'll make a left at nineteen and ah contact tower,3868.36,3871.29,
UAL478,GCW-1,and ah ground four seventy eight ah we couldn't get to india to get on nineteen we are on the west side here,3873.60,3879.30,
UAL478,GCW-1,ok we'll do that,3892.18,3893.68,
GCW-1,AAL79,american seventy nine heavy give way to ah delta m d eighty he's going to be making a turn ahead of you there on nineteen and ah,3900.17,3907.79,
